Alternatif;Rangking
A1;48
A2;37
A3;35
A4;38
A5;13
A6;24
A7;49
A8;39
A9;23
A10;25
A11;12
A12;20
A13;21
A14;5
A15;22
A16;1
A17;15
A18;6
A19;16
A20;26
A21;27
A22;40
A23;41
A24;18
A25;28
A26;29
A27;30
A28;33
A29;44
A30;45
A31;50
A32;36
A33;46
A34;14
A35;17
A36;34
A37;43
A38;8
A39;4
A40;9
A41;10
A42;31
A43;47
A44;19
A45;42
A46;7
A47;2
A48;3
A49;32
A50;11
